SOC_code,Job_title,Standard_going_rate_annual,Lower_going_rate_annual
4112,Local government housing assistants,33400.0,26000
4112,Local government revenue officers,33400.0,26000
4112,Parish clerks,33400.0,26000
4112,Local government administrative occupations not elsewhere classified,33400.0,26000
4113,Charity administrators,33400.0,25000
4113,Clerks to governors,33400.0,25000
4113,Union officials,33400.0,25000
4113,Officers of non-governmental organisations not elsewhere classified,33400.0,25000
4121,Credit controllers,33400.0,25200
4122,Accounting clerks and bookkeepers,33400.0,25400
4122,Payroll officers and wages clerks,33400.0,25400
4122,"Bookkeepers, payroll managers and wage clerks not elsewhere classified",33400.0,25400
4124,Finance officers,33400.0,25600
4129,Box office assistants,33400.0,25000
4129,Grants officers,33400.0,25000
4129,Mortgage administrators,33400.0,25000
4129,Revenue assistants (excludes National and Local government revenue occupations),33400.0,25000
4129,Treasury assistants,33400.0,25000
4129,Finance administrative occupations not elsewhere classified,33400.0,25000
4132,Claims handlers,33400.0,25000
4132,Insurance administrators,33400.0,25000
4132,Pensions administrators,33400.0,25000
4132,Pensions and insurance clerks and assistants not elsewhere classified,33400.0,25000
4134,Transport and distribution clerks and assistants,33400.0,25900
4141,Office managers,37400.0,30000
4143,Call centre managers,35200.0,27600
4143,Customer service managers not elsewhere classified,35200.0,27600
4151,Sales administrators,33400.0,25000
4159,Business administrators,33400.0,25000
4159,Church administrators,33400.0,25000
4159,Facilities coordinators,33400.0,25000
4159,Proofreaders,33400.0,25000
4159,Property administrators,33400.0,25000
4159,Warranty administrators,33400.0,25000
4159,Other administrative occupations not elsewhere classified,33400.0,25000
4214,Company secretaries and administrators,33400.0,27100
4215,Farm secretaries,33400.0,27400
4215,Personal assistants (excludes care workers),33400.0,27400
4215,Personal assistants and other secretaries not elsewhere classified,33400.0,27400
5111,Agricultural contractors,34100.0,28200
5111,Aquaculture farmers,34100.0,28200
5111,Arable farmers,34100.0,28200
5111,Dairy farmers,34100.0,28200
5111,Livestock farmers,34100.0,28200
5111,Poultry farmers,34100.0,28200
5111,Farmers not elsewhere classified,34100.0,28200
5112,Horticultural trades,33400.0,25000
5113,Garden designers,33400.0,25000
5113,Gardeners (excludes horticultural/market gardening),33400.0,25000
5113,Green roof installers,33400.0,25000
5113,Landscape gardeners,33400.0,25000
5113,Gardeners and landscape gardeners not elsewhere classified,33400.0,25000
5114,Groundsmen and greenkeepers,33400.0,25000
5119,Arborists,33400.0,25000
5119,Beekeepers,33400.0,25000
5119,Countryside and park officers and rangers,33400.0,25000
5119,Falconers,33400.0,25000
5119,Fish and river keepers,33400.0,25000
5119,Fishers,33400.0,25000
5119,Gamekeepers,33400.0,25000
5119,Agricultural and fishing trades not elsewhere classified,33400.0,25000
5211,Metal fabricators and finishers,33400.0,26800
5211,Panel beaters (excludes vehicles),33400.0,26800
5211,Whitesmiths,33400.0,26800
5211,Sheet metal workers not elsewhere classified,33400.0,26800
5212,Die casters,36700.0,29200
5212,Farriers,36700.0,29200
5212,"Moulders, mould makers and core makers",36700.0,29200
5212,Smiths,36700.0,29200
5212,"Metal plate workers, smiths, moulders and related occupations not elsewhere classified",36700.0,29200
5213,Braziers and solderers,34900.0,29500
5213,Pipe welders,34900.0,29500
5213,Plate welders,34900.0,29500
5213,Welding trades not elsewhere classified,34900.0,29500
5214,Pipe fitters,46000.0,40400
5221,Computer numerical control (CNC) machine setters and setter-operators,34600.0,28500
5221,Metal machining setters and setter-operators not elsewhere classified,34600.0,28500
5222,Tool fitters,38400.0,33400
5222,Tool makers,38400.0,33400
5222,"Tool makers, tool fitters and markers-out not elsewhere classified",38400.0,33400
5223,Automation maintenance technicians,39300.0,29900
5223,Bicycle mechanics,39300.0,29900
5223,Catering equipment technicians,39300.0,29900
5223,Door fitters and makers,39300.0,29900
5223,Gunsmiths,39300.0,29900
5223,Heavy plant maintenance technicians,39300.0,29900
5223,Hydraulic technicians,39300.0,29900
5223,Lift technicians,39300.0,29900
5223,Locksmiths,39300.0,29900
5223,Pump technicians,39300.0,29900
5223,Textile machine technicians,39300.0,29900
5223,Turbine fitters,39300.0,29900
5223,Metal working production and maintenance fitters not elsewhere classified,39300.0,29900
5224,Calibration and precision instrument technicians,33400.0,28300
5224,Camera and photographic equipment technicians,33400.0,28300
5224,"Horologists, watch makers and repairers",33400.0,28300
5224,Optical technicians,33400.0,28300
5224,Precision instrument makers and repairers not elsewhere classified,33400.0,28300
5225,Air-conditioning and refrigeration installers and repairers,41100.0,35500
5231,Auto electricians,35500.0,27900
5231,Car/light vehicle technicians,35500.0,27900
5231,Heavy and large vehicle technicians,35500.0,27900
5231,Motorcycle technicians,35500.0,27900
5231,Motorsport technicians,35500.0,27900
5231,MOT testers,35500.0,27900
5231,Roadside assistance technicians,35500.0,27900
5231,"Vehicle technicians, mechanics and electricians not elsewhere classified",35500.0,27900
5232,Vehicle body builders and repairers,33400.0,27600
5233,Vehicle paint technicians,33400.0,29600
5234,Aircraft maintenance and related trades,45000.0,34800
5235,Boat and ship builders and repairers,33700.0,29600
5236,Rail and rolling stock builders and repairers,57000.0,38800
5241,Electric vehicle charging point installers,38800.0,31500
5241,Electro-mechanical technicians,38800.0,31500
5241,Installation and maintenance electricians,38800.0,31500
5241,Smart energy experts,38800.0,31500
5241,Solar panel installers,38800.0,31500
5241,Street lighting electrician,38800.0,31500
5241,Electricians and electrical fitters not elsewhere classified,38800.0,31500
5242,Telecoms and related network installers and repairers,36700.0,31700
5243,"TV, video and audio servicers and repairers",33400.0,25100
5244,Computer system and equipment installers and servicers,35100.0,26700
5245,Security system installers and repairers,36300.0,28800
5246,Electrical service and maintenance mechanics and repairers,39700.0,33800
5249,Broadcast and communications technicians,45800.0,35600
5249,Overhead line workers,45800.0,35600
5249,Signal workers,45800.0,35600
5249,Electrical and electronic trades not elsewhere classified,45800.0,35600
5250,"Skilled metal, electrical and electronic trades supervisors",42400.0,36500
5311,Steel erectors,35000.0,29500
5312,Dry stone wallers,33400.0,28500
5312,Monumental masons,33400.0,28500
5312,Stonemasons,33400.0,28500
5312,Stonemasons and related trades not elsewhere classified,33400.0,28500
5313,Bricklayers,33400.0,25600
5314,Felt and flat roofers,33400.0,25300
5314,Sheeters and cladders,33400.0,25300
5314,Thatchers,33400.0,25300
5314,Tilers and slaters,33400.0,25300
5314,"Roofers, roof tilers and slaters not elsewhere classified",33400.0,25300
5315,Plumbers and heating and ventilation installers and repairers,38100.0,31400
5316,Bedroom and kitchen fitters,33400.0,27800
5316,Carpenters,33400.0,27800
5316,Joiners,33400.0,27800
5316,Carpenters and joiners not elsewhere classified,33400.0,27800
5317,Glass cutters and glaziers,33400.0,25800
5317,Window fabricators,33400.0,25800
5317,Window fitters,33400.0,25800
5317,"Glaziers, window fabricators and fitters not elsewhere classified",33400.0,25800
5319,Builders,33400.0,27300
5319,Divers,33400.0,27300
5319,Fence erectors,33400.0,27300
5319,Industrial climbers,33400.0,27300
5319,Remotely Operated Vehicle (ROV) operators,33400.0,27300
5319,Steel fixers and underpinners,33400.0,27300
5319,Construction and building trades not elsewhere classified,33400.0,27300
5321,Dry liners,34200.0,29500
5321,Plasterers (wall and decorative),34200.0,29500
5322,Carpet and linoleum fitters,33400.0,25400
5322,Floor layers,33400.0,25400
5322,Tilers,33400.0,25400
5322,Floorers and wall tilers not elsewhere classified,33400.0,25400
5323,Painters and decorators,33400.0,27800
5330,Carpenter and joinery supervisors,41800.0,34600
5330,Demolition supervisors,41800.0,34600
5330,Painting supervisors,41800.0,34600
5330,Plumbing supervisors,41800.0,34600
5330,Road construction supervisors,41800.0,34600
5330,Roofing supervisors,41800.0,34600
5330,Scaffolding supervisors,41800.0,34600
5330,Construction and building trade supervisors not elsewhere classified,41800.0,34600
5411,Curtain makers,33400.0,25000
5411,Trimmers and upholsterers,33400.0,25000
5411,Upholsterers not elsewhere classified,33400.0,25000
5412,Footwear makers and repairers,33400.0,25000
5412,Leather workers (excludes leather dressing),33400.0,25000
5412,Footwear and leather working trades not elsewhere classified,33400.0,25000
5413,Costume makers,33400.0,25000
5413,Dressmakers,33400.0,25000
5413,Fitters and alterations assistants,33400.0,25000
5413,Kilt makers,33400.0,25000
5413,"Milliners (excludes wholesale, retail trade)",33400.0,25000
5413,Tailors,33400.0,25000
5413,Tailors and dressmakers not elsewhere classified,33400.0,25000
5419,Embroiderers and sewers,33400.0,25000
5419,Knitters,33400.0,25000
5419,Sail makers,33400.0,25000
5419,"Weavers (excludes basket, wig and wire goods mfr)",33400.0,25000
5419,"Textiles, garments and related trades not elsewhere classified",33400.0,25000
5421,Pre-press technicians,33400.0,25000
5422,Digital printers,33400.0,26200
5422,Flexographic printers,33400.0,26200
5422,Lithographic printers,33400.0,26200
5422,Screen printers,33400.0,26200
5422,Printers not elsewhere classified,33400.0,26200
5423,Print finishing and binding workers,33400.0,25000
5431,Butchers,33400.0,25000
5431,Slaughterers,33400.0,25000
5432,Bakers (excludes food process bakery workers and textile manufacturing),33400.0,25000
5432,Cake decorators and designers,33400.0,25000
5432,Bakers and flour confectioners not elsewhere classified,33400.0,25000
5433,Fishmongers,33400.0,25000
5433,Poultry dressers,33400.0,25000
5433,Fishmongers and poultry dressers not elsewhere classified,33400.0,25000
5434,Chefs,33400.0,25000
5436,Catering and bar managers,33400.0,25000
5441,"Ceramic makers, decorators and finishers",33400.0,25400
5441,Ceramic potters,33400.0,25400
5441,Glass blowers,33400.0,25400
5441,"Glass makers, decorators and finishers",33400.0,25400
5441,Optical glass makers,33400.0,25400
5441,"Glass and ceramics makers, decorators and finishers not elsewhere classified",33400.0,25400
5442,Cabinet makers (excludes metal),33400.0,25000
5442,Furniture makers and fitters,33400.0,25000
5442,Furniture restorers,33400.0,25000
5442,Furniture sprayers and finishers,33400.0,25000
5442,Picture framers,33400.0,25000
5442,Shed makers,33400.0,25000
5442,Furniture makers and other craft woodworkers not elsewhere classified,33400.0,25000
5443,Florists,33400.0,25000
5449,Basket makers (excludes wire goods mfr),33400.0,25800
5449,Candle makers,33400.0,25800
5449,"Goldsmiths, silversmiths, jewellers and precious stone workers",33400.0,25800
5449,Hairpiece and wig makers,33400.0,25800
5449,Metal engravers,33400.0,25800
5449,Craft model makers,33400.0,25800
5449,"Musical instrument repairers, makers and tuners",33400.0,25800
5449,Sign makers and writers,33400.0,25800
5449,Toy makers and repairers,33400.0,25800
5449,Other skilled trades not elsewhere classified,33400.0,25800
6111,Early education and childcare assistants,33400.0,25000
6114,Childminders,33400.0,25000
6116,Au pairs,25000.0,25000
6116,Nannies,25000.0,25000
6117,Playworkers,33400.0,25000
6129,Animal boarding assistants,33400.0,25000
6129,Animal breeders,33400.0,25000
6129,Animal groomers,33400.0,25000
6129,Animal trainers (excludes performing animals),33400.0,25000
6129,Animal walkers,33400.0,25000
6129,Animal welfare workers,33400.0,25000
6129,Stable workers,33400.0,25000
6129,Veterinary assistants,33400.0,25000
6129,Zookeepers,33400.0,25000
6129,Animal care services occupations not elsewhere classified,33400.0,25000
6134,Foster carers,33400.0,25000
6134,Residential childcare practitioners,33400.0,25000
6134,School matrons and houseparents,33400.0,25000
6134,Residential housing wardens,33400.0,25000
6134,Houseparents and residential wardens not elsewhere classified,33400.0,25000
6135,Community support workers,33400.0,25000
6135,Home care workers,33400.0,25000
6135,Residential care workers,33400.0,25000
6135,Care workers and home carers not elsewhere classified,33400.0,25000
6136,Senior community support workers,33400.0,25000
6136,Senior home care workers,33400.0,25000
6136,Senior residential care workers,33400.0,25000
6136,Senior care workers not elsewhere classified,33400.0,25000
6213,Flight attendants,33400.0,25000
6213,Passenger services assistants,33400.0,25000
6213,Air travel assistants not elsewhere classified,33400.0,25000
6214,Railway station assistants,41300.0,35400
6214,Revenue protection officers,41300.0,35400
6214,Train conductors and guards,41300.0,35400
6214,Rail travel assistants not elsewhere classified,41300.0,35400
6232,Playworkers,25000.0,25000
6250,Animal boarding assistants,25000.0,25000
6250,Animal breeders,25000.0,25000
6250,Animal groomers,25000.0,25000
6250,Animal trainers (excludes performing animals),25000.0,25000
6250,Animal walkers,25000.0,25000
6250,Animal welfare workers,25000.0,25000
6250,Stable workers,25000.0,25000
6250,Veterinary assistants,25000.0,25000
6250,Zookeepers,25000.0,25000
6250,Animal care services occupations not elsewhere classified,25000.0,25000
6311,Foster carers,33400.0,31600
6311,Residential childcare practitioners,33400.0,31600
6311,School matrons and houseparents,33400.0,31600
6311,Residential housing wardens,33400.0,31600
6311,Houseparents and residential wardens not elsewhere classified,33400.0,31600
7115,Vehicle parts advisers,25000.0,25000
7115,Vehicle sales executives,25000.0,25000
7124,Market and street traders and assistants,33400.0,25000
7125,Fashion stylists,25000.0,25000
7125,Visual merchandisers and window dressers,25000.0,25000
7125,Visual merchandisers and related occupations not elsewhere classified,25000.0,25000
7129,Demonstrators and product promoters,25000.0,25000
7129,Hire desk controllers,25000.0,25000
7129,Sales energy consultants,25000.0,25000
7129,Sales related occupations not elsewhere classified,25000.0,25000
7131,Antique dealers,33700.0,27200
7131,Art dealers,33700.0,27200
7131,Car traders,33700.0,27200
7131,Newsagents,33700.0,27200
7131,Retail jewellers,33700.0,27200
7131,Wholesalers,33700.0,27200
7131,Wine merchants,33700.0,27200
7131,Shopkeepers and owners - retail and wholesale not elsewhere classified,33700.0,27200
7132,Sales supervisors - retail and wholesale,33400.0,25000
7214,Field and telephone interviewers,33400.0,25000
7214,Mystery shoppers,33400.0,25000
7214,Political canvassers,33400.0,25000
7214,Traffic enumerators,33400.0,25000
7220,Customer service supervisors,34200.0,28900
8113,Chemical and related process operatives,33400.0,26700
8115,Galvanisers and platers,25000.0,25000
8115,Metal sprayers and powder coaters,25000.0,25000
8115,Metal making and treating process operatives not elsewhere classified,25000.0,25000
8133,Boiler operatives,41500.0,30100
8133,Compressor operatives,41500.0,30100
8133,Nuclear decommissioning operatives,41500.0,30100
8133,Energy plant operatives not elsewhere classified,41500.0,30100
8134,Water and sewerage distribution operatives,38000.0,31300
8134,Water treatment operatives,38000.0,31300
8134,Water and sewerage plant operatives not elsewhere classified,38000.0,31300
8143,Routine inspectors and testers,33400.0,26600
8215,Cycling instructors,39500.0,33300
8215,Forklift instructors,39500.0,33300
8215,Heavy and large vehicle driving instructors,39500.0,33300
8215,Motorcycle instructors,39500.0,33300
8215,Passenger carrying vehicle (PCV) and car driving instructors,39500.0,33300
8215,Driving instructors not elsewhere classified,39500.0,33300
8232,Marine and waterways transport operatives,38300.0,26300
9119,Vent chick sexer,33400.0,25000
9119,Deckhand on large fishing vessel (9 metres and above),33400.0,25000
9249,Retail order pickers,33400.0,27500
9249,Trolley collectors,33400.0,27500
9249,Elementary sales occupations not elsewhere classified,33400.0,27500
9252,Warehouse operatives,25000.0,25000
